DNA_ID	Lab_ID	year	vineyard	row_ID	unique_rowID	treatment	type	Treatment			
x101_17	101_17	2017	01	101	101_17	AC	normal	Alternating Cover			
x201_17	201_17	2017	01	201	201_17	AC	normal	Alternating Cover			
x102_17	102_17	2017	02	102	102_17	AC	normal	Alternating Cover			Alternating Cover AC, complete Cover CC,  Bare Ground BG
x202_17	202_17	2017	02	202	202_17	AC	normal	Alternating Cover			
x103_17	103_17	2017	03	103	103_17	CC	normal	Complete Cover			
x203_17	203_17	2017	03	203	203_17	CC	normal	Complete Cover			
x104_17	104_17	2017	04	104	104_17	aa_BG	normal	Bare Ground			
x204_17	204_17	2017	04	204	204_17	aa_BG	normal	Bare Ground			
x105_17	105_17	2017	05	105	105_17	AC	normal	Alternating Cover			
x205_17	205_17	2017	05	205	205_17	AC	normal	Alternating Cover			
x106_17	106_17	2017	06	106	106_17	CC	normal	Complete Cover			
x206_17	206_17	2017	06	206	206_17	CC	normal	Complete Cover			
x107_17	107_17	2017	07	107	107_17	CC	normal	Complete Cover			
x207_17	207_17	2017	07	207	207_17	CC	normal	Complete Cover			
x108_17	108_17	2017	08	108	108_17	aa_BG	normal	Bare Ground			
x208_17	208_17	2017	08	208	208_17	aa_BG	normal	Bare Ground			
x109_17	109_17	2017	09	109	109_17	CC	normal	Complete Cover			
x209_17	209_17	2017	09	209	209_17	CC	normal	Complete Cover			
x110_17	110_17	2017	10	110	110_17	aa_BG	normal	Bare Ground			
x210_17	210_17	2017	10	210	210_17	aa_BG	normal	Bare Ground			
x111_17	111_17	2017	11	111	111_17	CC	normal	Complete Cover			
x211_17	211_17	2017	11	211	211_17	CC	normal	Complete Cover			
x112_17	112_17	2017	12	112	112_17	aa_BG	normal	Bare Ground			
x212_17	212_17	2017	12	212	212_17	aa_BG	normal	Bare Ground			
x113_17	113_17	2017	13	113	113_17	AC	normal	Alternating Cover			
x213_17	213_17	2017	13	213	213_17	AC	normal	Alternating Cover			
x114_17	114_17	2017	14	114	114_17	AC	normal	Alternating Cover			
x214_17	214_17	2017	14	214	214_17	AC	normal	Alternating Cover			
x115_17	115_17	2017	15	115	115_17	CC	normal	Complete Cover			
x215_17	215_17	2017	15	215	215_17	CC	normal	Complete Cover			
x116_17	116_17	2017	16	116	116_17	aa_BG	normal	Bare Ground			
x216_17	216_17	2017	16	216	216_17	aa_BG	normal	Bare Ground			
x117_17	117_17	2017	17	117	117_17	AC	normal	Alternating Cover			
x217_17	217_17	2017	17	217	217_17	AC	normal	Alternating Cover			
x118_17	118_17	2017	18	118	118_17	AC	normal	Alternating Cover			
x218_17	218_17	2017	18	218	218_17	AC	normal	Alternating Cover			
x119_17	119_17	2017	19	119	119_17	CC	normal	Complete Cover			
x219_17	219_17	2017	19	219	219_17	CC	normal	Complete Cover			
x120_17	120_17	2017	20	120	120_17	AC	normal	Alternating Cover			
x220_17	220_17	2017	20	220	220_17	AC	normal	Alternating Cover			
x121_17	121_17	2017	21	121	121_17	aa_BG	normal	Bare Ground			
x221_17	221_17	2017	21	221	221_17	aa_BG	normal	Bare Ground			
x122_17	122_17	2017	22	122	122_17	aa_BG	normal	Bare Ground			
x222_17	222_17	2017	22	222	222_17	aa_BG	normal	Bare Ground			
x123_17	123_17	2017	23	123	123_17	CC	normal	Complete Cover			
x223_17	223_17	2017	23	223	223_17	CC	normal	Complete Cover			
x124_17	124_17	2017	24	124	124_17	AC	normal	Alternating Cover			
x224_17	224_17	2017	24	224	224_17	AC	normal	Alternating Cover			
x125_17	125_17	2017	25	125	125_17	aa_BG	normal	Bare Ground			
x225_17	225_17	2017	25	225	225_17	aa_BG	normal	Bare Ground			
x126_17	126_17	2017	26	126	126_17	aa_BG	normal	Bare Ground			
x226_17	226_17	2017	26	226	226_17	aa_BG	normal	Bare Ground			
x127_17	127_17	2017	27	127	127_17	CC	normal	Complete Cover			
x227_17	227_17	2017	27	227	227_17	CC	normal	Complete Cover			
x128_17	128_17	2017	28	128	128_17	AC	normal	Alternating Cover			
x228_17	228_17	2017	28	228	228_17	AC	normal	Alternating Cover			
x129_17	129_17	2017	29	129	129_17	AC	normal	Alternating Cover			
x229_17	229_17	2017	29	229	229_17	AC	normal	Alternating Cover			
x130_17	130_17	2017	30	130	130_17	CC	normal	Complete Cover			
x230_17	230_17	2017	30	230	230_17	CC	normal	Complete Cover			
x131_17	131_17	2017	31	131	131_17	aa_BG	normal	Bare Ground			
x231_17	231_17	2017	31	231	231_17	aa_BG	normal	Bare Ground			
x132_17	132_17	2017	32	132	132_17	AC	normal	Alternating Cover			
x232_17	232_17	2017	32	232	232_17	AC	normal	Alternating Cover			
x133_17	133_17	2017	33	133	133_17	AC	normal	Alternating Cover			
x233_17	233_17	2017	33	233	233_17	AC	normal	Alternating Cover			
